id,snapshot_time,departure_time,ship_name,route_name,direction,origin,route_type,operation_type,reason,status,license_route
74,2025-11-15 14:19,1500,도초카훼리,도초-가산-남강-목포,역방향,비금‧도초,편도항로,정상,,출항전,도초-목포
75,2025-11-15 14:19,1510,뉴골드스타호,목포-홍도,역방향,홍도,편도항로,정상,,출항전,목포-홍도
76,2025-11-15 14:19,1530,핑크돌핀호,목포-대흑산,정방향,목포,편도항로,정상,,출항전,목포-홍도
77,2025-11-15 14:19,1600,슬로아일랜드호,목포-외달(장좌),정방향,목포,순환항로,정상,,출항전,목포-외달
78,2025-11-15 14:19,1600,금오고속페리호,진도-창유,정방향,진도,편도항로,정상,,출항전,진도-서거차
79,2025-11-15 14:19,1600,새섬두레호,창유-진도,역방향,창유,편도항로,정상,,출항전,율목-진도
80,2025-11-15 14:19,1620,산타모니카,진도-상추자-제주,역방향,제주,편도항로,비운,선박정비,출항전,진도-제주
81,2025-11-15 14:19,1630,슬로시티2호,송도-병풍,정방향,송도(신안),편도항로,정상,,출항전,송도-병풍
82,2025-11-15 14:19,1645,퀸제누비아2,목포-제주,역방향,제주,편도항로,정상,,출항전,목포-제주
83,2025-11-15 14:19,1650,금오고속페리호,진도-창유,역방향,창유,편도항로,정상,,출항전,진도-서거차
84,2025-11-15 14:19,1700,새섬두레호,창유-진도,정방향,진도,편도항로,정상,,출항전,율목-진도
85,2025-11-15 14:19,1710,천사3호,목포-동리(출항-마진),역방향,상태동리,편도항로,정상,,출항전,목포-상태동리
86,2025-11-15 14:19,1730,천사1호,목포-웅곡(복호포함),정방향,목포,편도항로,정상,,출항전,목포-상태서리
87,2025-11-15 14:19,1800,도초카훼리,도초수치가산남강목포,정방향,목포(북항),편도항로,정상,,출항전,도초-목포
88,2025-11-15 14:19,2000,천사1호,목포-웅곡(복호포함),역방향,웅곡,편도항로,정상,,출항전,목포-상태서리
89,2025-11-15 14:19,230,실버클라우드,제주-완도,역방향,완도,편도항로,정상,,완료,제주-완도
90,2025-11-15 14:19,800,송림블루오션,제주-추자도-완도,정방향,제주,편도항로,정상,,완료,제주-완도
91,2025-11-15 14:19,840,실버클라우드,제주-완도,정방향,제주,편도항로,정상,,완료,제주-완도
92,2025-11-15 14:19,920,한일골드스텔라,제주-완도,역방향,완도,편도항로,정상,,완료,제주-완도
93,2025-11-15 14:19,1340,송림블루오션,제주-추자도-완도,역방향,완도,편도항로,정상,,운항중,제주-완도
94,2025-11-15 14:19,1500,실버클라우드,제주-완도,역방향,완도,편도항로,비운,휴항(30일 미만),출항전,제주-완도
95,2025-11-15 14:19,1600,한일골드스텔라,제주-완도,정방향,제주,편도항로,비운,휴항(30일 미만),출항전,제주-완도
96,2025-11-15 14:19,1930,실버클라우드,제주-완도,정방향,제주,편도항로,비운,휴항(30일 미만),출항전,제주-완도
97,2025-11-15 14:19,610,한려페리9호,여수-함구미(1자봉),정방향,여수,순환항로,정상,,완료,여수-함구미
98,2025-11-15 14:19,620,북도고속페리,여수-여천-우학-연도,정방향,여수,편도항로,정상,,완료,여수-연도
99,2025-11-15 14:19,730,하멜,여수-거문(의성)_니나,정방향,여수,편도항로,정상,,완료,여수-거문
100,2025-11-15 14:19,830,북도고속페리,여수-여천-우학-연도,역방향,연도,편도항로,정상,,완료,여수-연도
101,2025-11-15 14:19,950,한려페리9호,여수-함구미(2자봉),정방향,여수,순환항로,정상,,완료,여수-함구미
102,2025-11-15 14:19,1020,하멜,여수-거문(의성)_니나,역방향,거문,편도항로,정상,,완료,여수-거문
103,2025-11-15 14:19,1310,하멜,여수-거문(의성)_니나,정방향,여수,편도항로,정상,,운항중,여수-거문
104,2025-11-15 14:19,1400,태평양1호,"월,수,목,금,토요일",역방향,여수,편도항로,비운,휴항(30일 미만),출항전,여수-둔병
105,2025-11-15 14:19,1400,북도고속페리,여수-여천-우학-연도,정방향,여수,편도항로,정상,,운항중,여수-연도
106,2025-11-15 14:19,1420,한려페리9호,여수-함구미(3자봉),정방향,여수,순환항로,정상,,출항전,여수-함구미
107,2025-11-15 14:19,1540,하멜,여수-거문(의성)_니나,역방향,거문,편도항로,정상,,출항전,여수-거문
108,2025-11-15 14:19,1630,북도고속페리,여수-여천-우학-연도,역방향,연도,편도항로,정상,,출항전,여수-연도
